	hitsIn	hitsOut
pfam1494	29	0
pfam1495	29	0
pfam1496	3	0
pfam1497	29	3
pfam1498	2	0
pfam1499	4	1
pfam1500	2	0
pfam1501	2	0
pfam1502	3	1
pfam1503	3	1
pfam1504	5	0
pfam1505	5	0
pfam1506	3	0
pfam1507	6	2
pfam1508	2	0
pfam1509	4	0
pfam1510	4	0
pfam1511	2	0
pfam1512	2	0
pfam1513	3	0
pfam1514	3	0
pfam1515	3	0
pfam1516	3	0
pfam1517	3	0
pfam1518	8	0
pfam1519	3	0
pfam1520	3	0
pfam1521	3	0
pfam1522	3	0
pfam1523	3	0
pfam1524	3	0
pfam1525	3	0
pfam1526	3	0
pfam1527	3	0
pfam1528	2	0
pfam1529	29	1
pfam1530	2	0
pfam1531	3	0
pfam1532	2	0
pfam1533	2	0
pfam1534	2	0
pfam1535	2	0
pfam1536	2	0
pfam1537	2	0
pfam1538	2	0
pfam1539	2	0
pfam1540	2	1
pfam1541	2	0
pfam1542	1	1
pfam1543	1	1
pfam1544	1	1
pfam1545	1	1
pfam1546	30	3
pfam1547	18	1
pfam1548	28	2
pfam1549	28	2
pfam1550	28	2
pfam1551	28	2
pfam1552	28	2
pfam1553	29	3
pfam1554	30	2
pfam1555	30	3
pfam1556	30	2
pfam1557	30	3
pfam1558	27	1
pfam1559	30	3
pfam1560	30	3
pfam1561	30	3
pfam1562	30	3
pfam1563	25	1
pfam1564	27	1
pfam1565	30	3
pfam1566	30	3
pfam1567	30	3
pfam1568	30	3
pfam1569	30	3
pfam1570	30	3
pfam1571	30	3
pfam1572	30	3
pfam1573	30	3
pfam1574	29	2
pfam1575	30	3
pfam1576	30	3
pfam1577	30	3
pfam1578	30	3
pfam1579	30	3
pfam1580	30	3
pfam1581	30	3
pfam1582	30	3
pfam1583	30	3
pfam1584	30	2
pfam1585	30	3
pfam1586	30	3
pfam1587	30	2
pfam1588	30	3
pfam1589	30	3
pfam1590	30	3
pfam1591	30	3
pfam1592	30	3
pfam1593	30	1
pfam1594	30	1
pfam1595	30	3
pfam1596	30	3
pfam1597	30	3
pfam1598	30	3
pfam1599	30	3
pfam1600	30	3
pfam1601	30	3
pfam1602	30	3
pfam1603	8	3
pfam1604	30	3
pfam1605	30	3
pfam1606	30	3
pfam1607	30	3
pfam1608	29	3
pfam1609	29	3
pfam1610	29	3
pfam1611	28	3
pfam1612	29	3
pfam1613	29	3
pfam1614	29	3
pfam1615	29	3
pfam1616	29	3
pfam1617	30	3
pfam1618	30	2
pfam1619	30	3
pfam1620	30	3
pfam1621	30	3
pfam1622	30	3
pfam1623	30	3
pfam1624	30	3
pfam1625	30	3
pfam1626	30	3
pfam1627	26	1
pfam1628	30	3
pfam1629	29	2
pfam1630	4	2
pfam1631	30	3
pfam1632	30	3
pfam1633	28	2
pfam1634	28	3
pfam1635	28	2
pfam1636	26	2
pfam1637	27	2
pfam1638	29	2
pfam1639	29	2
pfam1640	29	2
pfam1641	30	3
pfam1642	30	3
pfam1643	30	3
pfam1644	30	2
pfam1645	30	3
pfam1646	30	3
pfam1647	15	2
pfam1648	30	3
pfam1649	29	3
pfam1650	30	3
pfam1651	30	3
pfam1652	30	3
pfam1653	26	1
pfam1654	26	1
pfam1655	26	1
pfam1656	26	1
pfam1657	30	3
pfam1658	27	3
pfam1659	30	1
pfam1660	30	3
pfam1661	30	3
pfam1662	30	3
pfam1663	30	3
pfam1664	30	3
pfam1665	27	0
pfam1666	3	1
pfam1667	26	1
pfam1668	27	1
pfam1669	28	1
pfam1670	28	2
pfam1671	28	2
pfam1672	28	1
pfam1673	28	2
pfam1674	26	1
pfam1675	29	3
pfam1676	27	2
pfam1677	28	1
pfam1678	30	3
pfam1679	30	3
pfam1680	30	3
pfam1681	30	2
pfam1682	30	3
pfam1683	30	3
pfam1684	30	3
pfam1685	30	3
pfam1686	30	3
pfam1687	30	3
pfam1688	30	3
pfam1689	30	3
pfam1690	28	2
pfam1691	30	3
pfam1692	29	2
pfam1693	29	2
pfam1694	30	3
pfam1695	26	1
pfam1696	30	3
pfam1697	30	3
pfam1698	30	1
pfam1699	28	1
pfam1700	28	2
pfam1701	28	0
pfam1702	1	1
pfam1703	27	1
pfam1704	28	2
pfam1705	7	1
pfam1706	28	3
pfam1707	27	1
pfam1708	27	1
pfam1709	30	3
pfam1710	29	2
pfam1711	28	2
pfam1712	29	2
pfam1713	30	3
pfam1714	30	3
pfam1715	30	3
pfam1716	30	3
pfam1717	30	3
pfam1718	29	3
pfam1719	27	1
pfam1720	30	1
pfam1721	30	2
pfam1722	30	2
pfam1723	30	3
pfam1724	30	3
pfam1725	30	3
pfam1726	30	3
pfam1727	30	2
pfam1728	30	2
pfam1729	28	1
pfam1730	23	3
pfam1731	28	2
pfam1732	8	1
pfam1733	26	0
pfam1734	0	2
pfam1735	2	1
pfam1736	4	2
pfam1737	2	1
pfam1738	2	1
pfam1739	2	2
pfam1740	5	3
pfam1741	5	3
pfam1742	3	1
pfam1743	3	1
pfam1744	2	1
pfam1745	2	1
pfam1746	2	1
pfam1747	3	1
pfam1748	2	1
pfam1749	2	1
pfam1750	2	1
pfam1751	2	1
pfam1752	2	1
pfam1753	3	1
pfam1754	5	2
pfam1755	3	1
pfam1756	3	1
pfam1757	3	1
pfam1758	3	1
pfam1759	3	1
pfam1760	2	1
pfam1761	3	1
pfam1762	3	1
pfam1763	3	1
pfam1764	2	1
pfam1765	2	1
pfam1766	3	1
pfam1767	22	1
pfam1768	7	2
pfam1769	1	1
pfam1770	9	0
pfam1771	5	3
pfam1772	5	3
pfam1773	3	1
pfam1774	3	2
pfam1775	3	0
pfam1776	21	1
pfam1777	3	1
pfam1778	3	2
pfam1779	2	2
pfam1780	2	2
pfam1781	1	1
pfam1782	2	2
pfam1783	2	2
pfam1784	1	1
pfam1785	1	1
pfam1786	1	1
pfam1787	1	1
pfam1788	1	1
pfam1789	1	1
pfam1790	1	1
pfam1791	3	3
pfam1792	3	2
pfam1793	3	2
pfam1794	3	3
pfam1795	3	1
pfam1796	1	1
pfam1797	1	1
pfam1798	1	2
pfam1799	1	1
pfam1800	1	1
pfam1801	1	2
pfam1802	1	1
pfam1803	1	1
pfam1804	1	1
pfam1805	2	1
pfam1806	1	1
pfam1807	0	2
pfam1808	1	1
pfam1809	1	1
pfam1810	1	2
pfam1811	7	0
pfam1812	1	1
pfam1813	1	1
pfam1814	1	1
pfam1815	2	2
pfam1816	3	0
pfam1817	29	1
pfam1818	1	1
pfam1819	1	1
pfam1820	13	0
pfam1821	1	2
pfam1822	2	0
pfam1823	1	2
pfam1824	1	2
pfam1825	2	3
pfam1826	1	2
pfam1827	1	3
pfam1828	1	1
pfam1829	3	1
pfam1830	13	0
pfam1831	0	2
pfam1832	0	2
pfam1833	0	2
pfam1834	0	3
pfam1835	0	2
pfam1836	0	2
pfam1837	27	2
pfam1838	27	0
pfam1839	27	0
pfam1840	27	0
pfam1841	27	1
pfam1842	30	2
pfam1843	29	2
pfam1844	30	2
pfam1845	30	2
pfam1846	29	2
pfam1847	29	2
pfam1848	29	2
pfam1849	29	1
pfam1850	30	2
pfam1851	27	1
pfam1852	27	0
pfam1853	29	0
pfam1854	30	2
pfam1855	27	0
pfam1856	27	0
pfam1857	27	0
pfam1858	27	0
pfam1859	27	0
pfam1860	27	0
pfam1861	27	0
pfam1862	27	0
pfam1863	27	0
pfam1864	25	0
pfam1865	25	0
pfam1866	4	0
pfam1867	27	0
pfam1868	27	0
pfam1869	27	0
pfam1870	25	0
pfam1871	27	0
pfam1872	28	0
pfam1873	27	0
pfam1874	27	0
pfam1875	13	0
pfam1876	27	0
pfam1877	27	0
pfam1878	27	0
pfam1879	27	1
pfam1880	28	1
pfam1881	27	0
pfam1882	27	1
pfam1883	28	0
pfam1884	28	0
pfam1885	29	2
pfam1886	30	2
pfam1887	28	1
pfam1888	28	1
pfam1889	28	0
pfam1890	27	0
pfam1891	28	1
pfam1892	27	0
pfam1893	27	0
pfam1894	27	0
pfam1895	30	1
pfam1896	30	2
pfam1897	30	2
pfam1898	18	0
pfam1899	8	0
pfam1900	7	0
pfam1901	8	0
pfam1902	9	0
pfam1903	8	0
pfam1904	11	0
pfam1905	28	0
pfam1906	27	0
pfam1907	27	0
pfam1908	25	0
pfam1909	27	0
pfam1910	27	0
pfam1911	27	0
pfam1912	28	1
pfam1913	8	0
pfam1914	8	0
pfam1915	8	0
pfam1916	8	0
pfam1917	8	0
pfam1918	8	0
pfam1919	8	0
pfam1920	8	0
pfam1921	8	0
pfam1922	8	0
pfam1923	8	0
pfam1924	8	0
pfam1925	8	0
pfam1926	9	0
pfam1927	8	0
pfam1928	8	0
pfam1929	8	0
pfam1930	8	0
pfam1931	8	0
pfam1932	8	0
pfam1933	8	0
pfam1934	8	0
pfam1935	29	1
pfam1936	27	0
pfam1937	8	0
pfam1938	8	0
pfam1939	8	0
pfam1940	27	0
pfam1941	25	0
pfam1942	5	0
pfam1943	4	0
pfam1944	21	0
pfam1945	28	0
pfam1946	3	1
pfam1947	3	1
pfam1948	3	1
pfam1949	3	1
pfam1950	3	1
pfam1951	3	1
pfam1952	3	1
pfam1953	2	0
pfam1954	2	0
pfam1955	2	0
pfam1956	2	0
pfam1957	3	0
pfam1958	4	0
pfam1959	4	1
pfam1960	10	0
pfam1961	2	0
pfam1962	2	0
pfam1963	2	0
pfam1964	2	0
pfam1965	2	0
pfam1966	2	0
pfam1967	21	0
pfam1968	2	0
pfam1969	3	0
pfam1970	2	0
pfam1971	2	0
pfam1972	2	0
pfam1973	3	0
pfam1974	2	0
pfam1975	3	1
pfam1976	3	0
pfam1977	2	0
pfam1978	2	0
pfam1979	2	0
pfam1980	3	0
pfam1981	2	0
pfam1982	2	0
pfam1983	2	0
pfam1984	2	0
pfam1985	2	0
pfam1986	3	0
pfam1987	4	0
pfam1988	2	0
pfam1989	3	0
pfam1990	2	0
pfam1991	2	0
pfam1992	2	0
pfam1993	2	0
pfam1994	2	0
pfam1995	10	0
pfam1996	3	0
pfam1997	3	0
pfam1998	2	0
pfam1999	2	0
pfam2000	4	0
pfam2001	2	0
pfam2002	2	0
pfam2003	2	0
pfam2004	2	0
pfam2005	2	0
pfam2006	2	0
pfam2007	2	1
pfam2008	1	2
pfam2009	4	0
pfam2010	21	0
pfam2011	20	0
pfam2012	25	0
pfam2013	25	0
pfam2014	24	0
pfam2015	26	0
pfam2016	25	0
pfam2017	17	0
pfam2018	18	1
pfam2019	26	0
pfam2020	28	1
pfam2021	28	1
pfam2022	25	0
pfam2023	25	0
pfam2024	25	0
pfam2025	25	0
pfam2026	21	0
pfam2027	25	0
pfam2028	27	1
pfam2029	25	0
pfam2030	26	1
pfam2031	28	2
pfam2032	28	2
pfam2033	25	0
pfam2034	26	1
pfam2035	26	1
pfam2036	25	0
pfam2037	25	0
pfam2038	25	0
pfam2039	23	0
pfam2040	22	0
pfam2041	12	0
pfam2042	8	0
pfam2043	3	0
pfam2044	7	0
pfam2045	2	0
pfam2046	7	0
pfam2047	7	1
pfam2048	2	0
pfam2049	3	0
pfam2050	2	0
pfam2051	2	0
pfam2052	2	0
pfam2053	2	0
pfam2054	2	0
pfam2055	2	0
pfam2056	2	0
pfam2057	2	0
pfam2058	2	0
pfam2059	2	0
pfam2060	2	0
pfam2061	2	0
pfam2062	2	0
pfam2063	2	0
pfam2064	2	0
pfam2065	2	0
pfam2066	2	0
pfam2067	2	0
pfam2068	2	0
pfam2069	2	0
pfam2070	2	0
pfam2071	2	0
pfam2072	2	0
pfam2073	7	0
pfam2074	7	0
pfam2075	6	0
pfam2076	6	0
pfam2077	6	0
pfam2078	6	0
pfam2079	6	0
pfam2080	6	0
pfam2081	5	0
pfam2082	6	0
pfam2083	5	0
pfam2084	6	0
pfam2085	6	0
pfam2086	6	0
pfam2087	6	0
pfam2088	6	0
pfam2089	6	0
pfam2090	6	0
pfam2091	6	0
pfam2092	6	0
pfam2093	6	0
pfam2094	6	0
pfam2095	11	0
pfam2096	9	0
pfam2097	4	0
pfam2098	2	0
pfam2099	3	0
pfam2100	2	2
pfam2101	3	0
pfam2102	3	0
pfam2103	3	1
pfam2104	3	1
pfam2105	3	1
pfam2106	2	0
pfam2107	2	1
pfam2108	2	1
pfam2109	2	1
pfam2110	2	1
pfam2111	2	1
pfam2112	2	1
pfam2113	2	1
pfam2114	3	2
pfam2115	2	1
pfam2116	2	0
pfam2117	2	0
pfam2118	2	1
pfam2119	2	0
pfam2120	2	0
pfam2121	2	1
pfam2122	2	2
pfam2123	2	1
pfam2124	2	1
pfam2125	2	1
pfam2126	2	0
pfam2127	1	1
pfam2128	1	1
pfam2129	1	1
pfam2130	1	1
pfam2131	1	1
pfam2132	1	1
pfam2133	1	1
pfam2134	1	1
pfam2135	5	0
pfam2136	4	0
pfam2137	5	0
pfam2138	2	0
pfam2139	2	0
pfam2140	2	0
pfam2141	2	0
pfam2142	2	0
pfam2143	2	0
pfam2144	2	0
pfam2145	2	0
pfam2146	2	0
pfam2147	2	0
pfam2148	3	0
pfam2149	2	0
pfam2150	2	0
pfam2151	2	0
pfam2152	2	0
pfam2153	1	1
pfam2154	1	2
pfam2155	1	1
pfam2156	1	1
pfam2157	1	1
pfam2158	7	0
pfam2159	4	0
pfam2160	1	1
pfam2161	1	1
pfam2162	1	1
pfam2163	1	1
pfam2164	1	1
pfam2165	1	1
pfam2166	1	1
pfam2167	1	1
pfam2168	1	1
pfam2169	1	1
pfam2170	1	1
pfam2171	1	1
pfam2172	1	1
pfam2173	1	1
pfam2174	1	1
pfam2175	1	1
pfam2176	1	1
pfam2177	1	1
pfam2178	1	1
pfam2179	1	1
pfam2180	1	2
pfam2181	1	2
pfam2182	1	1
pfam2183	1	1
pfam2184	1	1
pfam2185	1	1
pfam2186	1	1
pfam2187	1	1
pfam2188	1	2
pfam2189	1	1
pfam2190	1	2
pfam2191	1	1
pfam2192	1	1
pfam2193	1	1
pfam2194	1	1
pfam2195	1	1
pfam2196	1	1
pfam2197	1	2
pfam2198	1	1
pfam2199	1	1
pfam2200	3	0
pfam2201	0	2
pfam2202	0	2
pfam2203	0	2
pfam2204	1	0
pfam2205	1	0
pfam2206	1	0
pfam2207	1	0
pfam2208	1	0
pfam2209	1	0
pfam2210	1	0
pfam2211	1	0
pfam2212	1	0
pfam2213	1	0
pfam2214	1	0
pfam2215	1	0
pfam2216	1	0
pfam2217	1	0
pfam2218	1	0
pfam2219	1	0
pfam2220	1	0
pfam2221	1	0
pfam2222	1	0
pfam2223	1	0
pfam2224	1	0
pfam2225	1	0
pfam2226	1	0
pfam2227	1	0
pfam2228	1	0
pfam2229	1	0
pfam2230	1	0
pfam2231	1	0
pfam2232	1	0
pfam2233	1	0
pfam2234	1	0
pfam2235	1	0
pfam2236	1	0
pfam2237	1	0
pfam2238	1	0
pfam2239	1	0
pfam2240	1	0
pfam2241	1	0
pfam2242	1	0
pfam2243	1	0
pfam2244	1	0
pfam2245	1	0
pfam2246	1	0
pfam2247	1	0
pfam2248	1	0
pfam2249	1	0
pfam2250	1	0
pfam2251	1	0
pfam2252	1	0
pfam2253	1	0
pfam2254	1	0
pfam2255	1	0
pfam2256	1	0
pfam2257	1	0
pfam2258	1	0
pfam2259	1	0
pfam2260	1	0
pfam2261	1	0
pfam2262	1	0
pfam2263	1	0
pfam2264	1	0
pfam2265	1	0
pfam2266	1	0
pfam2267	1	0
pfam2268	1	0
pfam2269	1	0
pfam2270	1	0
pfam2271	1	0
pfam2272	1	0
pfam2273	1	0
pfam2274	1	0
pfam2275	1	0
pfam2276	1	0
pfam2277	1	0
pfam2278	1	0
pfam2279	1	0
pfam2280	1	0
pfam2281	1	0
pfam2282	1	0
pfam2283	1	0
pfam2284	1	0
pfam2285	1	0
pfam2286	1	0
pfam2287	1	0
pfam2288	1	0
pfam2289	1	0
pfam2290	1	0
pfam2291	1	0
pfam2292	1	0
pfam2293	1	0
pfam2294	1	0
pfam2295	1	0
pfam2296	1	0
pfam2297	1	0
pfam2298	1	0
pfam2299	1	0
pfam2300	1	0
pfam2301	1	0
pfam2302	1	0
pfam2303	1	0
pfam2304	1	0
pfam2305	1	0
pfam2306	1	0
pfam2307	1	0
pfam2308	1	0
pfam2309	1	0
pfam2310	1	0
pfam2311	1	0
pfam2312	1	0
pfam2313	1	0
pfam2314	1	0
pfam2315	1	0
pfam2316	1	0
pfam2317	1	0
pfam2318	1	0
pfam2319	1	0
pfam2320	1	0
pfam2321	1	0
pfam2322	1	0
pfam2323	1	0
pfam2324	1	0
pfam2325	1	0
pfam2326	1	0
pfam2327	1	0
pfam2328	1	0
pfam2329	1	0
pfam2330	1	0
pfam2331	1	0
pfam2332	1	0
pfam2333	1	0
pfam2334	1	0
pfam2335	1	0
pfam2336	1	0
pfam2337	1	0
pfam2338	1	0
pfam2339	1	0
pfam2340	1	0
pfam2341	1	0
pfam2342	1	0
pfam2343	1	0
pfam2344	1	0
pfam2345	1	0
pfam2346	1	0
pfam2347	1	0
pfam2348	1	0
pfam2349	1	0
pfam2350	1	0
pfam2351	1	0
pfam2352	1	0
pfam2353	1	0
pfam2354	1	0
pfam2355	1	0
pfam2356	1	0
pfam2357	1	0
pfam2358	1	0
pfam2359	1	0
pfam2360	1	0
pfam2361	1	0
pfam2362	1	0
pfam2363	1	0
pfam2364	1	0
pfam2365	1	0
pfam2366	1	0
pfam2367	1	0
pfam2368	1	0
pfam2369	1	0
pfam2370	1	0
pfam2371	1	0
pfam2372	1	0
pfam2373	1	0
pfam2374	1	0
pfam2375	1	0
pfam2376	1	0
pfam2377	1	0
pfam2378	1	0
pfam2379	1	0
pfam2380	1	0
pfam2381	1	0
pfam2382	1	0
pfam2383	1	0
pfam2384	1	0
pfam2385	1	0
pfam2386	1	0
pfam2387	1	0
pfam2388	1	0
pfam2389	1	0
pfam2390	1	0
pfam2391	1	0
pfam2392	1	0
pfam2393	1	0
pfam2394	1	0
pfam2395	1	0
pfam2396	1	0
pfam2397	1	0
pfam2398	1	0
pfam2399	1	0
pfam2400	1	0
pfam2401	1	0
pfam2402	1	0
pfam2403	1	0
pfam2404	1	0
pfam2405	1	0
pfam2406	1	0
pfam2407	1	0
pfam2408	1	0
pfam2409	1	0
pfam2410	1	0
pfam2411	1	0
pfam2412	1	0
pfam2413	1	0
pfam2414	1	0
pfam2415	1	0
pfam2416	1	0
pfam2417	1	0
pfam2418	1	0
pfam2419	1	0
pfam2420	1	0
pfam2421	1	0
pfam2422	1	0
pfam2423	1	0
pfam2424	1	0
pfam2425	1	0
pfam2426	1	0
pfam2427	1	0
pfam2428	1	0
pfam2429	1	0
pfam2430	1	0
pfam2431	1	0
pfam2432	1	0
pfam2433	1	0
pfam2434	1	0
pfam2435	1	0
pfam2436	1	0
pfam2437	1	0
pfam2438	1	0
pfam2439	1	0
pfam2440	1	0
pfam2441	1	0
pfam2442	1	0
pfam2443	1	0
pfam2444	1	0
pfam2445	1	0
pfam2446	1	0
pfam2447	1	0
pfam2448	1	0
pfam2449	1	0
pfam2450	1	0
pfam2451	1	0
pfam2452	1	0
pfam2453	1	0
pfam2454	1	0
pfam2455	1	0
pfam2456	1	0
pfam2457	1	0
pfam2458	1	0
pfam2459	1	0
pfam2460	1	0
pfam2461	1	0
pfam2462	1	0
pfam2463	1	0
pfam2464	1	0
pfam2465	1	0
pfam2466	1	0
pfam2467	1	0
pfam2468	1	0
pfam2469	1	0
pfam2470	1	0
pfam2471	1	0
pfam2472	1	0
pfam2473	1	0
pfam2474	1	0
pfam2475	1	0
pfam2476	1	0
pfam2477	1	0
pfam2478	1	0
pfam2479	1	0
pfam2480	1	0
pfam2481	1	0
pfam2482	1	0
pfam2483	1	0
pfam2484	1	0
pfam2485	1	0
pfam2486	1	0
pfam2487	1	0
pfam2488	1	0
pfam2489	1	0
pfam2490	1	0
pfam2491	1	0
pfam2492	1	0
pfam2493	1	0
pfam2494	1	0
pfam2495	1	0
pfam2496	1	0
pfam2497	1	0
pfam2498	1	0
pfam2499	1	0
pfam2500	1	0
pfam2501	1	0
pfam2502	1	0
pfam2503	1	0
pfam2504	1	0
pfam2505	1	0
pfam2506	1	0
pfam2507	1	0
pfam2508	1	0
pfam2509	1	0
pfam2510	1	0
pfam2511	1	0
pfam2512	1	0
pfam2513	1	0
pfam2514	1	0
pfam2515	1	0
pfam2516	1	0
pfam2517	1	0
pfam2518	1	0
pfam2519	1	0
pfam2520	1	0
pfam2521	1	0
pfam2522	1	0
pfam2523	1	0
pfam2524	1	0
pfam2525	1	0
pfam2526	1	0
pfam2527	1	0
pfam2528	1	0
pfam2529	1	0
pfam2530	1	0
pfam2531	1	0
pfam2532	1	0
pfam2533	1	0
pfam2534	1	0
pfam2535	1	0
pfam2536	1	0
pfam2537	1	0
pfam2538	1	0
pfam2539	1	0
pfam2540	1	0
pfam2541	1	0
pfam2542	1	0
pfam2543	1	0
pfam2544	1	0
pfam2545	1	0
pfam2546	1	0
pfam2547	1	0
pfam2548	1	0
pfam2549	1	0
pfam2550	1	0
pfam2551	1	0
pfam2552	1	0
pfam2553	1	0
pfam2554	1	0
pfam2555	1	0
pfam2556	1	0
pfam2557	1	0
pfam2558	1	0
pfam2559	1	0
pfam2560	1	0
pfam2561	1	0
pfam2562	1	0
pfam2563	1	0
pfam2564	1	0
pfam2565	1	0
pfam2566	1	0
pfam2567	1	0
pfam2568	1	0
pfam2569	1	0
pfam2570	1	0
pfam2571	1	0
pfam2572	1	0
pfam2573	1	0
pfam2574	1	0
pfam2575	1	0
pfam2576	1	0
pfam2577	1	0
pfam2578	1	0
pfam2579	1	0
pfam2580	1	0
pfam2581	1	0
pfam2582	1	0
pfam2583	1	0
pfam2584	1	0
pfam2585	1	0
pfam2586	1	0
pfam2587	1	0
pfam2588	1	0
pfam2589	1	0
pfam2590	1	0
pfam2591	1	0
pfam2592	1	0
pfam2593	1	0
pfam2594	1	0
pfam2595	1	0
pfam2596	1	0
pfam2597	1	0
pfam2598	1	0
pfam2599	1	0
pfam2600	1	0
pfam2601	1	0
pfam2602	1	0
pfam2603	1	0
pfam2604	1	0
pfam2605	1	0
pfam2606	1	0
pfam2607	1	0
pfam2608	1	0
pfam2609	1	0
pfam2610	1	0
pfam2611	1	0
pfam2612	1	0
pfam2613	1	0
pfam2614	1	0
pfam2615	1	0
pfam2616	1	0
pfam2617	1	0
pfam2618	1	0
pfam2619	1	0
pfam2620	1	0
pfam2621	1	0
pfam2622	1	0
pfam2623	1	0
pfam2624	1	0
pfam2625	1	0
pfam2626	1	0
pfam2627	1	0
pfam2628	1	0
pfam2629	1	0
pfam2630	1	0
pfam2631	1	0
pfam2632	1	0
pfam2633	1	0
pfam2634	1	0
pfam2635	1	0
pfam2636	1	0
pfam2637	1	0
pfam2638	1	0
pfam2639	1	0
pfam2640	1	0
pfam2641	1	0
pfam2642	1	0
pfam2643	1	0
pfam2644	1	0
pfam2645	1	0
pfam2646	1	0
pfam2647	1	0
pfam2648	1	0
pfam2649	1	0
pfam2650	1	0
pfam2651	1	0
pfam2652	1	0
pfam2653	1	0
pfam2654	1	0
pfam2655	1	0
pfam2656	1	0
pfam2657	1	0
pfam2658	1	0
pfam2659	1	0
pfam2660	1	0
pfam2661	1	0
pfam2662	1	0
pfam2663	1	0
pfam2664	1	0
pfam2665	1	0
pfam2666	1	0
pfam2667	1	0
pfam2668	1	0
pfam2669	1	0
pfam2670	1	0
pfam2671	1	0
pfam2672	1	0
pfam2673	1	0
pfam2674	1	0
pfam2675	1	0
pfam2676	1	0
pfam2677	1	0
pfam2678	1	0
pfam2679	1	0
pfam2680	1	0
pfam2681	1	0
pfam2682	1	0
pfam2683	1	0
pfam2684	1	0
pfam2685	1	0
pfam2686	1	0
pfam2687	1	0
pfam2688	1	0
pfam2689	1	0
pfam2690	1	0
pfam2691	1	0
pfam2692	1	0
pfam2693	1	0
pfam2694	1	0
pfam2695	1	0
pfam2696	1	0
pfam2697	1	0
pfam2698	1	0
pfam2699	1	0
pfam2700	1	0
pfam2701	1	0
pfam2702	1	0
pfam2703	1	0
pfam2704	1	0
pfam2705	1	0
pfam2706	1	0
pfam2707	1	0
pfam2708	1	0
pfam2709	1	0
pfam2710	1	0
pfam2711	1	0
pfam2712	1	0
pfam2713	1	0
pfam2714	1	0
pfam2715	1	0
pfam2716	1	0
pfam2717	1	0
pfam2718	1	0
pfam2719	1	0
pfam2720	1	0
pfam2721	1	0
pfam2722	1	0
pfam2723	1	0
pfam2724	1	0
pfam2725	1	0
pfam2726	1	0
pfam2727	1	0
pfam2728	1	0
pfam2729	1	0
pfam2730	1	0
pfam2731	1	0
pfam2732	1	0
pfam2733	1	0
pfam2734	1	0
pfam2735	1	0
pfam2736	1	0
pfam2737	1	0
pfam2738	1	0
pfam2739	1	0
pfam2740	1	0
pfam2741	1	0
pfam2742	1	0
pfam2743	1	0
pfam2744	1	0
pfam2745	1	0
pfam2746	1	0
pfam2747	1	0
pfam2748	1	0
pfam2749	1	0
pfam2750	1	0
pfam2751	1	0
pfam2752	1	0
pfam2753	1	0
pfam2754	1	0
pfam2755	1	0
pfam2756	1	0
pfam2757	1	0
pfam2758	1	0
pfam2759	1	0
pfam2760	1	0
pfam2761	1	0
pfam2762	1	0
pfam2763	1	0
pfam2764	1	0
pfam2765	1	0
pfam2766	1	0
pfam2767	1	0
pfam2768	1	0
pfam2769	1	0
pfam2770	1	0
pfam2771	1	0
pfam2772	1	0
pfam2773	1	0
pfam2774	1	0
pfam2775	1	0
pfam2776	1	0
pfam2777	1	0
pfam2778	1	0
pfam2779	1	0
pfam2780	1	0
pfam2781	1	0
pfam2782	0	1
pfam2783	0	1
pfam2784	0	1
pfam2785	0	1
pfam2786	0	1
pfam2787	0	1
pfam2788	0	1
pfam2789	0	1
pfam2790	0	1
pfam2791	0	1
pfam2792	0	1
pfam2793	0	1
pfam2794	0	1
pfam2795	0	1
pfam2796	0	1
pfam2797	0	1
pfam2798	0	1
pfam2799	0	1
pfam2800	0	1
pfam2801	0	1
pfam2802	0	1
pfam2803	0	1
pfam2804	0	1
pfam2805	0	1
pfam2806	0	1
pfam2807	0	1
pfam2808	0	1
pfam2809	0	1
pfam2810	0	1
pfam2811	0	1
pfam2812	0	1
pfam2813	0	1
pfam2814	0	1
pfam2815	0	1
pfam2816	0	1
pfam2817	0	1
pfam2818	0	1
pfam2819	0	1
pfam2820	0	1
pfam2821	0	1
pfam2822	0	1
pfam2823	0	1
pfam2824	0	1
pfam2825	0	1
pfam2826	0	1
pfam2827	0	1
pfam2828	0	1
pfam2829	0	1
pfam2830	0	1
pfam2831	0	1
pfam2832	0	1
pfam2833	0	1
pfam2834	0	1
pfam2835	0	1
pfam2836	0	1
pfam2837	0	1
pfam2838	0	1
pfam2839	0	1
pfam2840	0	1
pfam2841	0	1
pfam2842	0	1
pfam2843	0	1
pfam2844	0	1
pfam2845	0	1
pfam2846	0	1
pfam2847	0	1
pfam2848	0	1
pfam2849	0	1
pfam2850	0	1
pfam2851	0	1
pfam2852	0	1
pfam2853	0	1
pfam2854	0	1
pfam2855	0	1
pfam2856	0	1
pfam2857	0	1
pfam2858	0	1
pfam2859	0	1
pfam2860	0	1
pfam2861	0	1
pfam2862	0	1
pfam2863	0	1
pfam2864	0	1
pfam2865	0	1
pfam2866	0	1
pfam2867	0	1
pfam2868	0	1
pfam2869	0	1
pfam2870	0	1
pfam2871	0	1
pfam2872	0	1
pfam2873	0	1
pfam2874	0	1
pfam2875	0	1
pfam2876	0	1
pfam2877	0	1
pfam2878	0	1
pfam2879	0	1
pfam2880	0	1
pfam2881	0	1
pfam2882	0	1
pfam2883	0	1
pfam2884	0	1
pfam2885	0	1
pfam2886	0	1
pfam2887	0	1
pfam2888	0	1
pfam2889	0	1
pfam2890	0	1
pfam2891	0	1
