	hitsIn	hitsOut
pfam355	31	2
pfam356	31	3
pfam357	31	3
pfam358	31	3
pfam359	31	3
pfam360	30	3
pfam361	31	3
pfam362	31	3
pfam363	31	3
pfam364	31	3
pfam365	31	3
pfam366	31	3
pfam367	31	3
pfam368	31	3
pfam369	31	3
pfam370	31	3
pfam371	31	3
pfam372	31	3
pfam373	31	3
pfam374	31	3
pfam375	31	3
pfam376	31	3
pfam377	31	3
pfam378	31	3
pfam379	30	3
pfam380	30	3
pfam381	27	1
pfam382	30	1
pfam383	31	3
pfam384	30	3
pfam385	31	3
pfam386	31	3
pfam387	31	3
pfam388	31	3
pfam389	31	3
pfam390	31	3
pfam391	31	3
pfam392	31	3
pfam393	31	3
pfam394	30	3
pfam395	30	3
pfam396	31	3
pfam397	31	3
pfam398	31	3
pfam399	31	2
pfam400	31	3
pfam401	31	3
pfam402	31	3
pfam403	31	3
pfam404	31	3
pfam405	31	3
pfam406	30	3
pfam407	31	3
pfam408	31	3
pfam409	31	3
pfam410	31	3
pfam411	31	3
pfam412	31	3
pfam413	31	3
pfam414	31	2
pfam415	31	3
pfam416	31	2
pfam417	31	3
pfam418	31	3
pfam419	31	3
pfam420	31	3
pfam421	31	3
pfam422	31	3
pfam423	31	3
pfam424	31	3
pfam425	31	3
pfam426	31	3
pfam427	31	3
pfam428	31	3
pfam429	31	3
pfam430	31	3
pfam431	31	3
pfam432	31	3
pfam433	31	3
pfam434	31	3
pfam435	31	3
pfam436	31	3
pfam437	31	3
pfam438	31	3
pfam439	31	3
pfam440	31	3
pfam441	31	3
pfam442	31	3
pfam443	31	3
pfam444	31	3
pfam445	31	3
pfam446	31	3
pfam447	31	3
pfam448	31	3
pfam449	31	3
pfam450	31	3
pfam451	31	3
pfam452	31	3
pfam453	31	3
pfam454	31	3
pfam455	31	3
pfam456	31	3
pfam457	31	3
pfam458	31	3
pfam459	31	3
pfam460	31	3
pfam461	31	3
pfam462	31	3
pfam463	31	3
pfam464	31	3
pfam465	31	3
pfam466	31	3
pfam467	5	3
pfam468	31	3
pfam469	31	3
pfam470	31	3
pfam471	31	3
pfam472	31	3
pfam473	31	3
pfam474	31	3
pfam475	31	3
pfam476	31	3
pfam477	31	3
pfam478	31	3
pfam479	31	3
pfam480	31	3
pfam481	31	3
pfam482	31	3
pfam483	31	3
pfam484	31	3
pfam485	31	3
pfam486	31	3
pfam487	31	3
pfam488	31	3
pfam489	31	3
pfam490	31	3
pfam491	31	3
pfam492	31	3
pfam493	31	3
pfam494	31	3
pfam495	31	3
pfam496	31	3
pfam497	31	3
pfam498	31	3
pfam499	31	3
pfam500	31	3
pfam501	1	1
pfam502	1	1
pfam503	1	1
pfam504	1	1
pfam505	30	3
pfam506	31	3
pfam507	31	3
pfam508	31	3
pfam509	31	3
pfam510	31	3
pfam511	31	3
pfam512	30	3
pfam513	31	3
pfam514	31	3
pfam515	31	3
pfam516	31	3
pfam517	31	3
pfam518	31	3
pfam519	31	3
pfam520	31	3
pfam521	31	3
pfam522	31	3
pfam523	31	3
pfam524	31	3
pfam525	31	3
pfam526	31	3
pfam527	31	3
pfam528	31	3
pfam529	31	3
pfam530	30	3
pfam531	31	3
pfam532	31	3
pfam533	31	3
pfam534	31	3
pfam535	31	3
pfam536	31	3
pfam537	31	3
pfam538	31	3
pfam539	31	3
pfam540	31	3
pfam541	31	3
pfam542	31	3
pfam543	31	3
pfam544	31	3
pfam545	31	3
pfam546	31	3
pfam547	31	3
pfam548	31	3
pfam549	31	3
pfam550	31	3
pfam551	31	2
pfam552	28	2
pfam553	31	3
pfam554	31	3
pfam555	30	3
pfam556	31	3
pfam557	30	3
pfam558	31	3
pfam559	31	3
pfam560	31	3
pfam561	31	3
pfam562	31	3
pfam563	31	3
pfam564	31	3
pfam565	31	3
pfam566	31	3
pfam567	31	3
pfam568	31	3
pfam569	31	3
pfam570	31	2
pfam571	31	3
pfam572	31	2
pfam573	31	3
pfam574	31	3
pfam575	31	3
pfam576	31	3
pfam577	31	3
pfam578	31	3
pfam579	30	3
pfam580	31	3
pfam581	31	3
pfam582	31	3
pfam583	2	2
pfam584	2	2
pfam585	29	1
pfam586	29	2
pfam587	4	1
pfam588	2	2
pfam589	2	1
pfam590	31	3
pfam591	31	3
pfam592	31	3
pfam593	31	3
pfam594	31	3
pfam595	29	1
pfam596	29	2
pfam597	31	3
pfam598	31	3
pfam599	31	3
pfam600	31	3
pfam601	31	3
pfam602	31	3
pfam603	31	3
pfam604	31	3
pfam605	29	2
pfam606	31	3
pfam607	31	3
pfam608	31	3
pfam609	31	3
pfam610	31	3
pfam611	31	3
pfam612	31	3
pfam613	31	3
pfam614	31	3
pfam615	31	3
pfam616	31	3
pfam617	31	3
pfam618	31	3
pfam619	31	3
pfam620	31	3
pfam621	31	3
pfam622	31	3
pfam623	31	3
pfam624	31	3
pfam625	31	3
pfam626	31	3
pfam627	31	3
pfam628	31	3
pfam629	31	3
pfam630	31	3
pfam631	31	3
pfam632	31	3
pfam633	31	3
pfam634	31	3
pfam635	31	3
pfam636	31	3
pfam637	31	3
pfam638	31	3
pfam639	30	3
pfam640	31	3
pfam641	31	3
pfam642	31	3
pfam643	31	3
pfam644	31	3
pfam645	31	3
pfam646	31	3
pfam647	31	3
pfam648	31	3
pfam649	31	2
pfam650	31	3
pfam651	31	3
pfam652	31	3
pfam653	31	3
pfam654	31	3
pfam655	30	3
pfam656	31	3
pfam657	31	3
pfam658	31	2
pfam659	31	3
pfam660	31	3
pfam661	31	3
pfam662	31	3
pfam663	31	3
pfam664	31	3
pfam665	31	3
pfam666	31	3
pfam667	31	3
pfam668	31	3
pfam669	31	3
pfam670	31	3
pfam671	2	1
pfam672	31	3
pfam673	31	3
pfam674	31	3
pfam675	31	3
pfam676	31	3
pfam677	31	3
pfam678	31	2
pfam679	31	3
pfam680	31	3
pfam681	31	3
pfam682	31	3
pfam683	31	3
pfam684	31	3
pfam685	31	3
pfam686	31	3
pfam687	31	2
pfam688	31	3
pfam689	30	3
pfam690	31	3
pfam691	20	2
pfam692	13	2
pfam693	28	2
pfam694	31	3
pfam695	31	3
pfam696	31	3
pfam697	31	3
pfam698	31	3
pfam699	31	3
pfam700	31	3
pfam701	31	3
pfam702	31	3
pfam703	31	3
pfam704	31	3
pfam705	31	3
pfam706	30	3
pfam707	31	3
pfam708	31	2
pfam709	31	3
pfam710	31	3
pfam711	31	3
pfam712	31	3
pfam713	31	2
pfam714	31	3
pfam715	31	3
pfam716	31	2
pfam717	31	3
pfam718	31	3
pfam719	31	3
pfam720	31	3
pfam721	31	3
pfam722	31	3
pfam723	31	3
pfam724	31	3
pfam725	31	3
pfam726	31	3
pfam727	31	3
pfam728	31	3
pfam729	31	3
pfam730	31	3
pfam731	31	3
pfam732	31	3
pfam733	31	3
pfam734	31	3
pfam735	31	3
pfam736	31	3
pfam737	31	3
pfam738	31	3
pfam739	31	3
pfam740	31	3
pfam741	31	3
pfam742	31	3
pfam743	31	3
pfam744	31	3
pfam745	31	3
pfam746	31	3
pfam747	31	3
pfam748	31	3
pfam749	31	3
pfam750	31	2
pfam751	31	3
pfam752	31	3
pfam753	31	3
pfam754	31	3
pfam755	31	2
pfam756	31	3
pfam757	31	3
pfam758	31	3
pfam759	31	3
pfam760	31	3
pfam761	31	3
pfam762	31	3
pfam763	31	2
pfam764	31	3
pfam765	31	3
pfam766	31	3
pfam767	31	3
pfam768	31	3
pfam769	30	3
pfam770	31	3
pfam771	31	3
pfam772	31	3
pfam773	31	3
pfam774	31	3
pfam775	31	3
pfam776	31	3
pfam777	30	3
pfam778	31	3
pfam779	31	3
pfam780	31	3
pfam781	31	3
pfam782	31	3
pfam783	31	3
pfam784	31	3
pfam785	31	3
pfam786	31	3
pfam787	31	3
pfam788	31	3
pfam789	30	3
pfam790	31	3
pfam791	31	3
pfam792	31	3
pfam793	31	3
pfam794	31	3
pfam795	31	3
pfam796	31	3
pfam797	31	3
pfam798	31	3
pfam799	31	3
pfam800	31	3
pfam801	31	3
pfam802	31	3
pfam803	31	3
pfam804	31	3
pfam805	31	3
pfam806	30	3
pfam807	31	3
pfam808	31	3
pfam809	31	3
pfam810	31	3
pfam811	31	3
pfam812	31	2
pfam813	31	3
pfam814	31	3
pfam815	31	3
pfam816	31	3
pfam817	31	3
pfam818	31	3
pfam819	31	3
pfam820	31	3
pfam821	31	3
pfam822	31	3
pfam823	31	3
pfam824	31	3
pfam825	31	3
pfam826	31	3
pfam827	31	3
pfam828	31	3
pfam829	31	3
pfam830	2	1
pfam831	3	3
pfam832	30	3
pfam833	31	3
pfam834	30	3
pfam835	31	3
pfam836	31	3
pfam837	31	3
pfam838	31	3
pfam839	31	3
pfam840	31	3
pfam841	31	3
pfam842	28	1
pfam843	2	0
pfam844	30	2
pfam845	30	2
pfam846	29	2
pfam847	30	2
pfam848	30	1
pfam849	30	2
pfam850	31	3
pfam851	31	3
pfam852	31	3
pfam853	31	3
pfam854	31	3
pfam855	31	3
pfam856	31	3
pfam857	31	3
pfam858	31	3
pfam859	31	3
pfam860	31	3
pfam861	31	3
pfam862	31	3
pfam863	31	3
pfam864	3	3
pfam865	31	2
pfam866	31	3
pfam867	31	3
pfam868	31	3
pfam869	30	3
pfam870	31	3
pfam871	31	3
pfam872	31	3
pfam873	31	3
pfam874	31	2
pfam875	31	3
pfam876	30	2
pfam877	31	3
pfam878	31	3
pfam879	30	3
pfam880	31	3
pfam881	31	3
pfam882	7	1
pfam883	1	1
pfam884	1	1
pfam885	1	2
pfam886	31	3
pfam887	31	3
pfam888	31	3
pfam889	31	3
pfam890	31	3
pfam891	1	1
pfam892	31	3
pfam893	31	3
pfam894	31	3
pfam895	31	3
pfam896	31	3
pfam897	31	3
pfam898	31	3
pfam899	31	3
pfam900	31	1
pfam901	31	2
pfam902	31	3
pfam903	31	3
pfam904	30	3
pfam905	31	3
pfam906	31	3
pfam907	31	3
pfam908	31	3
pfam909	31	3
pfam910	31	3
pfam911	31	3
pfam912	31	3
pfam913	31	3
pfam914	31	3
pfam915	31	3
pfam916	31	3
pfam917	31	2
pfam918	31	3
pfam919	31	3
pfam920	31	3
pfam921	31	3
pfam922	31	3
pfam923	31	3
pfam924	31	3
pfam925	31	3
pfam926	31	3
pfam927	31	3
pfam928	31	3
pfam929	31	3
pfam930	31	3
pfam931	31	3
pfam932	31	3
pfam933	31	3
pfam934	31	3
pfam935	30	3
pfam936	31	3
pfam937	31	3
pfam938	31	3
pfam939	31	3
pfam940	31	3
pfam941	31	3
pfam942	31	3
pfam943	31	3
pfam944	31	3
pfam945	31	3
pfam946	31	2
pfam947	31	3
pfam948	30	3
pfam949	31	2
pfam950	31	3
pfam951	31	3
pfam952	31	3
pfam953	31	3
pfam954	31	3
pfam955	31	3
pfam956	31	3
pfam957	31	3
pfam958	31	3
pfam959	31	3
pfam960	31	2
pfam961	31	3
pfam962	31	3
pfam963	31	3
pfam964	31	3
